id,name,volunteerInitiativeType,requiredAmount,coeffOfNecessity,publicationDate,deadlineDate,strategicImportance,impactOnUsers,deadline,economicEffect,externalFactors
1,DRIVE FOR LIFE: +100 AMBULANCES,Медичне забезпечення,24180720.00,2.434999134E7,2024-05-30,2024-06-06,0.9,24180.72,7.0,3454388.5714285714,5.0
2,Військовий Реабілітаційний центр потребує ліків для своїх пацієнтів,Медичне забезпечення,500000.00,575435.7714285714,2024-05-30,2024-06-06,0.9,500.0,7.0,71428.57142857143,5.0
3,SUPPORT UKRAINE,Матеріальна допомога для воїнів та їх сімей,43506980.00,4.381153446E7,2024-05-30,2024-06-06,0.8,43506.98,7.0,6215282.857142857,5.0
4,DRIVE FOR LIFE: ШВИДКА НА ХАРКІВЩИНУ,Медична допомога на передовій,380836.00,383508.15199999994,2024-05-30,2024-06-06,0.9,380.836,7.0,54405.142857142855,10.0
5,Рій помсти 24/7: бʼємо ворога вдень і вночі,Матеріальна допомога для воїнів та їх сімей,130000000.00,2.0571572308571428E8,2024-05-30,2024-06-06,0.8,130000.0,7.0,1.857142857142857E7,5.0
6,Час = Життя,Навчальні та професійні програми,1800000.00,1812605.25,2024-05-30,2024-06-06,0.75,1800.0,7.0,257142.85714285713,5.0
7,Почуй своїх,Будівництво та ремонт інфраструктури,14200000.00,1.42994049E7,2024-05-30,2024-06-06,0.7,14200.0,7.0,2028571.4285714286,10.0
8,Збір з "Вчасно" на гуманітарне розмінування,Навчальні та професійні програми,300000.00,604210.5,2024-05-30,2024-06-06,0.75,300.0,7.0,42857.142857142855,5.0
9,Збір на машини для розмінування,Технічна підтримка,0.00,4.8999999999999995,2024-05-30,2024-06-06,0.7,0.0,7.0,0.0,5.0
10,Вмикай “Невидимий щит”: збір на РЕБ для НГУ,Технічна підтримка,20000000.00,4.603429691428572E7,2024-05-30,2024-06-06,0.7,20000.0,7.0,2857142.8571428573,5.0
1,DRIVE FOR LIFE: +100 AMBULANCES,Медичне забезпечення,24180720.00,2.434999134E7,2024-05-30,2024-06-06,0.9,24180.72,7.0,3454388.5714285714,5.0
2,Військовий Реабілітаційний центр потребує ліків для своїх пацієнтів,Медичне забезпечення,500000.00,575435.7714285714,2024-05-30,2024-06-06,0.9,500.0,7.0,71428.57142857143,5.0
3,SUPPORT UKRAINE,Матеріальна допомога для воїнів та їх сімей,43506980.00,4.381153446E7,2024-05-30,2024-06-06,0.8,43506.98,7.0,6215282.857142857,5.0
4,DRIVE FOR LIFE: ШВИДКА НА ХАРКІВЩИНУ,Медична допомога на передовій,380836.00,383508.15199999994,2024-05-30,2024-06-06,0.9,380.836,7.0,54405.142857142855,10.0
5,Рій помсти 24/7: бʼємо ворога вдень і вночі,Матеріальна допомога для воїнів та їх сімей,130000000.00,2.0571572308571428E8,2024-05-30,2024-06-06,0.8,130000.0,7.0,1.857142857142857E7,5.0
6,Час = Життя,Навчальні та професійні програми,1800000.00,1812605.25,2024-05-30,2024-06-06,0.75,1800.0,7.0,257142.85714285713,5.0
7,Почуй своїх,Будівництво та ремонт інфраструктури,14200000.00,1.42994049E7,2024-05-30,2024-06-06,0.7,14200.0,7.0,2028571.4285714286,10.0
8,Збір з "Вчасно" на гуманітарне розмінування,Навчальні та професійні програми,300000.00,604210.5,2024-05-30,2024-06-06,0.75,300.0,7.0,42857.142857142855,5.0
9,Збір на машини для розмінування,Технічна підтримка,0.00,4.8999999999999995,2024-05-30,2024-06-06,0.7,0.0,7.0,0.0,5.0
10,Вмикай “Невидимий щит”: збір на РЕБ для НГУ,Технічна підтримка,20000000.00,4.603429691428572E7,2024-05-30,2024-06-06,0.7,20000.0,7.0,2857142.8571428573,5.0
